listing_id,id,date,reviewer_id,reviewer_name,comments,sentiment_score,sentiment_label
46917182,921820829963116950,2023-06-25,56419839,Jacques,"My stay in Latoya's airbnb was really pleasent , everything was spotless, really breathable space! I would definitely stay at Latoya's airbnb again! And would definitely recommend her as a great host! thank you you made my stay stress-free",0.29,Positive
54210471,997832550185664463,2023-10-08,21024025,Jori,"Jonathan was a phenomenal host!! His place is adorable, well situated, safe and so beautiful! We loved staying there and will choose it again if the opportunity presents itself.",0.69625,Positive
1097114648877714131,1329809724462514635,2025-01-08,578450617,Zachariah,Perfect nyc hotel stay very close to multiple subway lines,0.3999999999999999,Positive
1147037716231719858,1576942906291554663,2025-12-15,717324544,Saein,Very cozy place with everything you need. Well deserving of a 5 star rating.,0.1699999999999999,Positive
1375362734541224557,1521186725521411455,2025-09-29,211922496,Daphney,The studio looks exactly like the pictures. The host was very accommodating and allowed us to store our luggage prior to check in so we could explore the city. The studio is near a lot of restaurants and not too far from the subway. I loved staying here.,0.225,Positive
50408339,763088510572138554,2022-11-18,5762695,Amy,"LOVED staying here! Had work in Brooklyn from October to November and chose Gordon's place. Couldn't have been a better pick for my needs and comfort level. It's cozy, pretty and homey yet still feels like you can make it yours. The decor is lovely, and it's CLEAN. I also loved the neighborhood - so walkable and calm. The windows didn't let in too much street noise; I've never slept better in New York in my life! Thanks to the central heat, it was warm on cold days and, thanks to the AC, got cool quickly on hot days. After a long day of work, I truly felt like I was coming home. I was really happy here and would definitely stay here again.",0.2815295815295816,Positive
51948208,576746509897330011,2022-03-06,35254423,Danielle,What an amazing experience. This place looks better than the pictures. The owner responds extremely fast. This place has LED lights everywhere and alexa speakers in every room. It came equipped with everything you need including a spa chair.,0.4333333333333333,Positive
13536155,923992449726648421,2023-06-28,418910615,Adrian,Henry was a great host. Everything looks like the pictures and he was so kind and friendly. I would choose his house again.,0.5916666666666667,Positive
30767659,895652298078966820,2023-05-20,435003399,Yifan,"In general it's good. The room is not too large, like a studio with 3 beds inside. The small kitchen and fridge are bouns for us. The best thing is the location, in K town, close to anywhere. So you only look for a place for night sleep and spend the day touring in NYC, it's recommended.",0.2857142857142857,Positive
1404951014625260423,1513133078155781646,2025-09-18,324480363,Neil,"Hosts were super responsive and helpful, no complaints at all!",0.4166666666666666,Positive
1158653190110852406,1324743975890451065,2025-01-01,471718912,Rob,Everything about this hotel was much better than I had expected. I was just expecting to stay at a good place very close to Times Square but it ended up being a great place in a great location. I will definitely be looking to return again in the future!!!,0.3625,Positive
22851242,1134121468998688862,2024-04-13,150340619,Nahuel,Excelente lugar en Manhattan a un excelente precio.,0.0,Neutral
1015858565969239450,1216079717447145886,2024-08-04,78520310,Yinglin,Dini’s place is clean and spacious! The T station is just right around the corner! Highly recommend!,0.3384920634920634,Positive
8499719,683304064950191174,2022-07-31,465262402,Chase,"I had a great stay at Sebastian and Andrea’s place in Astoria.  They are truly wonderful hosts who were more than accommodating during my time there.  I just relocated to NYC for a new job and Sebastian and Andrea were extremely kind and helpful and wanting to make sure I had a good layout of the city, places for eat, and their favorite spots.  I couldn’t have been luckier to have such great hosts for the month.  I would highly recommend their property for any short-term or long-term stay as the room was clean and well taken care of.  There is a giant flatscreen TV with all major streaming services, a well functioning window AC unit, and a comfortable bed, as well.  There is a large sectional couch and plenty of closet space, too.  <br/>They are genuinely kind and gracious hosts, which seems to be a rarity these days.  All in all, you won’t be disappointed, book it!",0.3556842231842231,Positive
47395232,774656862659703829,2022-12-04,3345927,Gaby,Great location! Close to everything you need. Small space but worked for our little family.,0.1875,Positive
767231878009646886,902163755599301249,2023-05-29,121156135,Tej,Had a great stay for a couple of nights at this place. Very reasonably priced place according to the location and was a quick walk away from the train station. Roy was very accommodating and actively responded to any questions and concerns I had.,0.292,Positive
689043579053364669,1169676968863083489,2024-06-01,306620030,Hassaan,"Jas was a great host! The place was clean, it had a full kitchen with a proper oven so we cooked many of our meals at home. The area is quite safe and close to all types of public transport, the bus stop is literally outside the house. Definitely recommend this place! 10/10 points.",0.3018518518518518,Positive
30662063,1438491938178046971,2025-06-07,40295286,Ariana,"Amazing location, beautiful neighborhood, super comfy bed!",0.6222222222222222,Positive
52795626,753618688805739611,2022-11-05,184645032,Frédéric,"Nous avons passé un très bon séjour au Placemakr. L’hôtel est bien situé, proche du métro et il faut environ 20 minutes pour aller à Times Square. L’emplacement est plutôt calme. Le personnel est très aimable et à l’écoute . La déco de l’hôtel est très sympa. Le studio+ qu’on avait réservé était spacieux (on était 4) et la déco, également sympa. Il y avait juste quelques petits défauts (tuyau de douche très abîmé, tiroirs qui s’ouvrent très mal…) qui pourraient facilement être améliorés. Il y a beaucoup de rangement, c’était bien pratique. Bref, si on revient à New York, nous n’hésiterons pas à réserver de nouveau au Placemakr.",0.1363636363636363,Positive
50288087,562283884714094374,2022-02-14,241028390,Genesis,Great place,0.8,Positive
929669879521441080,978322591397125852,2023-09-11,178688226,Megan,Jordan was very helpful and communicative. We thoroughly enjoyed our stay at his apartment!,0.4125,Positive
1221699855812557434,1409568797575326588,2025-04-28,593329080,Mary,"great host, scary neighborhood but I knew what I was signing up for and inside and host were lovely.",0.2666666666666666,Positive
